qioʁ			*qjoq	呕吐	vomit	skʲug	嘔	*qoʔ	o		
mɯrkɯ		kɐ-mərkəʔ,mərkʰiʔ	*rkə	偷	voler	rku	寇	*ˁkho-s	o		
maqhu		kə-mɐʁû,<mɐʁoʔ	*qho	后来	après		後	*ˁgoʔ	o		
tɯ-skʰrɯ	ta-skhrú		*skhru	身体	corps	sku	軀	*kh(r)o	o		
kɤɣ			*k[ɐ,o]k	(使)弯曲	courber		曲	*khok	ok		
ɯ-rqhu	tə-rkʰó		*rqho	壳	écorce	skogs-pa	殼	*ˁkhrok	ok		
ʁndɯ		kɐ-ɣdoʔ,ɣdû,ɣdə̂m	*qndu	打	frapper	rduŋ	撞	*ˁdroŋ-s	oŋ		
qhrɯt		ka-kʰrôt	*qhrot	刮	gratter		刮	*ˁkhrot	ot		
skɯ	ka-səkú	kɐ-skûs,skʰoʔ	*sə-ku	埋	enterrer	rko	掘	*kot	ot		
tɯ-rnoʁ	tə-rnók	tə-rnôχ	*rnoq	脑子	cerveau		腦	*ˁnuʔ	u		
tɯ-ndzrɯ	tə-ndzrúʔ	tə-ndzrû	*ndzru	指甲	ongle		爪	*tsruʔ	u		
ngɯt	kə-ŋgû	kə-ngít	*ng?11	九	neuf	dgu	九	*kuʔ	u		
tɯ-zgrɯ (tɯ-ɣru)	tə-krú	tə-krəvzuʔ	*[s]kru	肘	coude	gru-mo	肘	*t-r-kuʔ	u		
ɕku	ɕkó	skwəʔ	*ɕko	葱	oignon	sgog-pa	韭	*kuʔ	u	1	
stʰoʁ		kɐ-stɐ̂χ,stɐ̂χ,stə́χ	*st[h]oq	按	appuyer		蹙	*sthuk	uk		
tɤ-ndɤɣ		tə-dók	*ndɔk	毒	poison	dug	毒	*ˁluk	uk		
kɯtʂɤɣ	kə-t􀄅ók	kə-tɕôx	*trɔk	六	six	drug	六	*Cə-ruk	uk		
	tɯ-pók		*poq	肚子	ventre	bug	腹	*puk	uk		
tɤ-khɯ	ta-kʰə̂	tɐ-kə́t	*k[h]ə	烟	fumée		熏	*xun	un		
tɯ-jmŋo	ta-rmô	tə-lmɐʔ	*lmaˠŋ	梦	rêve	rmaŋ-lam	夢	*muŋs	uŋ		
ndʑɯrpɯt				麻木	ankylosé		痹	*pits	its		
tɯ-ɣmɯr				一晚			晚	*morʔ	or		
											
\ipa{tɯ-ftsa}  &	\ipa{tə-tsá}  &	\ipa{tə-ftsɣî}  &	\ipa{*[p]tsa}  &	\zh{侄子}  &	neveu  &	\ipa{tsʰa-bo}  &	\zh{子}  &	\ipa{*tsəʔ}  &	\ipa{ə}  &	  \\	
\ipa{tɯ-rna}  &	\ipa{tə-rnâ}  &	\ipa{tə-rnaʔ}  &	\ipa{*rna}  &	\zh{耳朵}  &	oreille  &	\ipa{rna}  &	\zh{耳}  &	\ipa{*nəʔ}  &	\ipa{ə}  &	  \\	
\ipa{qa-pri}  &	\ipa{kʰa-bré}  &	\ipa{ʁɐ-prî}  &	\ipa{*prij}  &	\zh{蛇}  &	serpent  &	\ipa{sbrul}  &	\zh{虺}  &	\ipa{*ˁhməjʔ}  &	\ipa{əj}  &	  \\	
\ipa{tɤ-rme}  &	\ipa{ta-rɲê}  &	\ipa{tɐ-rmeʔ}  &	\ipa{*rmej}  &	\zh{毛}  &	poil  &	\ipa{}  &	\zh{眉}  &	\ipa{*mrəj}  &	\ipa{əj}  &	  \\	
